ct2010full,boro,count,pop0518,Pct_PrivVeh,medhhinc1,AADT1,frag_index
36005000200,Bronx,9,894,0.6346,74837,8682,-3.0614
36005000400,Bronx,12,1158,0.495,77991,16917,-2.9154
36005001600,Bronx,28,1120,0.4224,32354,22712,-0.2275
36005001900,Bronx,14,281,0.1998,34635,124767,3.0295
36005002000,Bronx,21,1998,0.2868,23423,10219,0.1652
36005002300,Bronx,10,1207,0.0899,14304,23867,0.855
36005002500,Bronx,21,1144,0.1339,15683,13452,2.1472
36005002701,Bronx,6,751,0.1415,20159,13452,-0.4125
36005002702,Bronx,12,1139,0.0808,18416,13452,0.9006
36005002800,Bronx,11,959,0.4508,50388,112942,-0.9496
36005003100,Bronx,12,315,0.2143,39962,49915,-1.3524
36005003300,Bronx,2,809,0.1821,19784,8854,-0.451
36005003500,Bronx,9,761,0.247,22267,14045,1.4014
36005003700,Bronx,6,45,0.0952,9327,14678,1.7014
36005003800,Bronx,1,247,0.5143,46534,8682,0.7137
36005003900,Bronx,17,1252,0.0963,27608,14989,1.8852
36005004001,Bronx,3,241,0.3492,47841,11960,0.9256
36005004100,Bronx,20,1392,0.0545,18516,14218,-0.7778
36005004200,Bronx,44,1425,0.2467,22135,87375,-0.5942
36005004300,Bronx,29,1059,0.1563,21827,14678,0.8207
36005004400,Bronx,5,1052,0.2132,23102,66911,0.1162
36005004600,Bronx,5,299,0.479,44297,87375,0.6594
36005004800,Bronx,23,743,0.1538,24437,25483,1.732
36005005001,Bronx,12,1111,0.1311,31250,2086,0.6353
36005005002,Bronx,15,1151,0.0925,29338,25483,2.1206
36005005100,Bronx,16,1358,0.0557,20233,99020,0.4932
36005005200,Bronx,9,400,0.2378,16810,25483,-0.3399
36005005300,Bronx,8,1115,0.1532,16173,108802,3.2166
36005005400,Bronx,5,1103,0.2007,32254,4654,-0.1698
36005005600,Bronx,11,522,0.219,17708,14965,3.569
36005005902,Bronx,4,392,0.145,38244,24442,0.3756
36005006000,Bronx,15,216,0.3174,43125,223380,0.6678
36005006100,Bronx,2,412,0.2742,47993,24442,0.1766
36005006200,Bronx,13,1425,0.1802,24668,20413,-0.1441
36005006300,Bronx,42,909,0.1424,33809,99020,1.9863
36005006400,Bronx,4,816,0.2858,27048,110109,2.4699
36005006500,Bronx,23,1061,0.0475,21959,22230,1.3286
36005006700,Bronx,8,1518,0.0825,21443,14218,-0.3181
36005006800,Bronx,12,570,0.317,31607,66911,2.6971
36005006900,Bronx,16,1742,0.1586,19824,14218,0.8896
36005007000,Bronx,5,870,0.2381,33712,10219,0.5067
36005007100,Bronx,24,452,0.1771,39792,14678,-0.8863
36005007200,Bronx,15,1054,0.2859,44844,110327,0.4606
36005007300,Bronx,19,859,0.1845,20678,14678,1.1953
36005007400,Bronx,3,723,0.452,44836,5774,-1.6292
36005007500,Bronx,16,1135,0.2032,22055,8281,3.2042
36005007600,Bronx,17,975,0.3457,41983,10219,-0.7449
36005007700,Bronx,9,452,0.2437,26011,8281,-0.3919
36005007800,Bronx,10,1341,0.3115,34095,104123,0.2466
36005007900,Bronx,18,1587,0.1568,23472,14045,1.7399
36005008300,Bronx,18,1329,0.1487,19409,49915,0.8257
36005008400,Bronx,5,467,0.4399,52234,16917,-2.4392
36005008500,Bronx,10,1103,0.239,24583,28372,3.1157
36005008600,Bronx,8,1006,0.2662,21313,5774,-0.331
36005008700,Bronx,43,1145,0.1287,28875,13115,0.3623
36005008900,Bronx,18,666,0.0912,19210,38636,-0.1398
36005009000,Bronx,5,845,0.3516,27802,104123,-1.8483
36005009200,Bronx,7,917,0.2782,42708,25966,0.8198
36005009300,Bronx,21,1283,0.21,30483,100898,3.2012
36005009600,Bronx,9,543,0.2446,41156,104123,0.3568
36005009800,Bronx,6,906,0.3861,54974,104123,0.181
36005011000,Bronx,1,42,0.3692,46573,115237,-0.9478
36005011502,Bronx,15,1024,0.202,21311,112942,2.1702
36005011700,Bronx,2,323,0.2268,24861,8955,0.1657
36005011800,Bronx,3,549,0.6446,77212,115582,-0.8908
36005011900,Bronx,8,1307,0.0889,23926,38636,0.403
36005012101,Bronx,2,637,0.1366,31058,15950,1.5207
36005012102,Bronx,7,432,0.1995,17800,15950,0.3153
36005012300,Bronx,5,926,0.2087,20671,35242,1.5802
36005012500,Bronx,7,889,0.2286,25317,7241,-0.7214
36005012701,Bronx,17,417,0.1449,19922,15950,1.1697
36005012901,Bronx,15,833,0.1005,17500,17717,1.6322
36005013000,Bronx,0,143,0.7108,78102,15867,-2.5086
36005013100,Bronx,13,1203,0.2812,29254,7752,1.0218
36005013200,Bronx,4,1012,0.5619,92855,15867,-2.1868
36005013300,Bronx,17,1445,0.1699,27742,17717,-0.42
36005013500,Bronx,14,853,0.2232,22839,12244,0.4705
36005013800,Bronx,0,467,0.7593,82941,115582,-1.0199
36005014100,Bronx,7,769,0.1742,31424,23322,2.4255
36005014300,Bronx,1,148,0.0476,12083,14664,3.9522
36005014400,Bronx,3,1333,0.2965,19994,15867,0.6591
36005014500,Bronx,30,1354,0.1259,21545,14664,1.4073
36005014701,Bronx,15,1670,0.0717,17300,14664,-0.6196
36005014702,Bronx,19,1301,0.069,17509,14664,-1.0423
36005014900,Bronx,10,974,0.2985,23674,12946,1.4915
36005015100,Bronx,29,1269,0.2317,29699,15154,0.7671
36005015200,Bronx,6,369,0.5439,58929,89598,-1.5389
36005015300,Bronx,23,925,0.1617,19803,15154,1.066
36005015500,Bronx,33,642,0.2726,23883,15154,-1.4493
36005015700,Bronx,9,828,0.1528,31648,35242,1.85
36005015800,Bronx,8,218,0.4067,55833,89598,-0.5601
36005015900,Bronx,14,458,0.2314,16371,12716,1.2625
36005016000,Bronx,1,493,0.7556,88438,6889,-2.5283
36005016100,Bronx,17,858,0.1886,15064,223380,1.5381
36005016200,Bronx,4,246,0.5761,67813,15867,-0.7264
36005016400,Bronx,0,182,0.3804,67222,17519,-0.5475
36005016500,Bronx,9,241,0.2796,27625,155251,0.7925
36005016600,Bronx,1,377,0.4931,63456,89598,-2.2898
36005016700,Bronx,16,515,0.2157,30330,14664,1.0756
36005016900,Bronx,24,307,0.2338,31029,14664,1.1775
36005017300,Bronx,30,1357,0.1451,20952,23322,-0.0613
36005017500,Bronx,31,1601,0.1786,18544,12000,0.9541
36005017701,Bronx,13,937,0.1719,21295,12000,1.4873
36005017702,Bronx,10,1133,0.2689,21782,10322,1.2534
36005017901,Bronx,14,940,0.1202,22233,20406,-0.3824
36005017902,Bronx,12,722,0.0861,18662,20406,0.0856
36005018101,Bronx,15,670,0.1684,26713,12000,1.3501
36005018102,Bronx,25,1050,0.102,38440,20406,0.3439
36005018301,Bronx,2,672,0.1679,30782,24442,1.787
36005018302,Bronx,15,772,0.1336,36181,10830,-0.0018
36005018400,Bronx,0,521,0.5531,71897,61169,-1.1167
36005018500,Bronx,33,1768,0.1664,23125,17717,2.6658
36005018900,Bronx,12,1592,0.3063,21588,92773,1.1621
36005019300,Bronx,15,1194,0.21560000000000001,17268,92773,1.1428
36005019400,Bronx,6,386,0.5537,51642,104123,0.1071
36005019500,Bronx,28,1532,0.1789,29723,24442,0.602
36005019700,Bronx,16,1687,0.1226,25000,14621,0.6594
36005019900,Bronx,17,1699,0.175,23665,19997,-0.2716
36005020000,Bronx,14,993,0.2159,42595,21223,0.715
36005020100,Bronx,4,870,0.2389,29509,128970,0.8243
36005020200,Bronx,15,434,0.304,43750,13500,1.7617
36005020400,Bronx,4,562,0.3432,51282,21223,1.4046
36005020501,Bronx,12,1513,0.2093,23904,108802,0.3425
36005020502,Bronx,3,358,0.2512,22519,11684,4.8325
36005020601,Bronx,12,548,0.2053,51300,6060,1.5214
36005020900,Bronx,26,839,0.1542,32025,163224,2.0206
36005021001,Bronx,4,1216,0.1988,49240,21223,0.6663
36005021002,Bronx,2,1006,0.1698,44474,7796,1.6459
36005021100,Bronx,8,1254,0.25,22780,128970,1.1031
36005021200,Bronx,5,766,0.2058,50839,7796,-0.0104
36005021301,Bronx,8,261,0.222,20500,12775,-0.6278
36005021302,Bronx,13,1172,0.2253,30075,163224,0.1304
36005021501,Bronx,6,764,0.1697,28622,20929,1.615
36005021502,Bronx,24,1409,0.1661,17664,12775,1.4984
36005021601,Bronx,9,816,0.1974,24914,110327,1.9713
36005021602,Bronx,29,880,0.1144,43996,110327,0.8222
36005021700,Bronx,21,992,0.1784,20923,14621,3.6628
36005021800,Bronx,13,1289,0.2625,30802,132142,-0.4218
36005021900,Bronx,8,293,0.1876,29271,14621,1.9974
36005022000,Bronx,7,281,0.0764,23750,110109,0.8472
36005022101,Bronx,18,818,0.112,26875,14621,-1.0368
36005022102,Bronx,10,1328,0.1666,17978,4445,0.251
36005022200,Bronx,13,693,0.352,35994,7796,1.3346
36005022300,Bronx,15,1010,0.1928,29535,14621,-0.1441
36005022401,Bronx,11,388,0.2138,41101,47691,1.5475
36005022403,Bronx,4,509,0.056,29531,30054,0.7298
36005022404,Bronx,6,744,0.2732,43119,9330,0.6538
36005022500,Bronx,18,1711,0.1435,31309,20406,2.0845
36005022701,Bronx,18,1039,0.1749,29000,15452,0.6291
36005022702,Bronx,4,354,0.2047,30905,163224,0.985
36005022703,Bronx,8,288,0.1552,45465,163224,-0.1885
36005022800,Bronx,4,1059,0.2735,44601,10110,1.3731
36005022901,Bronx,16,1144,0.1466,24365,21092,1.747
36005022902,Bronx,6,740,0.2204,22953,163224,0.4891
36005023000,Bronx,7,602,0.2575,52292,24026,-0.764
36005023100,Bronx,12,306,0.147,28988,17573,0.2816
36005023200,Bronx,4,551,0.3673,46929,10970,0.4794
36005023301,Bronx,24,830,0.2202,28402,14621,0.998
36005023302,Bronx,0,759,0.1315,23000,21092,1.6417
36005023501,Bronx,7,689,0.1971,30492,17573,0.506
36005023502,Bronx,17,818,0.1294,23795,23255,2.0808
36005023600,Bronx,13,399,0.2478,36563,10970,0.5888
36005023702,Bronx,4,273,0.1543,28824,26475,-1.5657
36005023703,Bronx,28,997,0.0747,29926,30481,2.7207
36005023704,Bronx,11,800,0.1396,20263,7905,1.2043
36005023800,Bronx,8,566,0.4157,51917,21223,0.4696
36005023900,Bronx,44,1837,0.1617,21613,30481,1.1391
36005024000,Bronx,27,854,0.3672,33234,110109,-0.0032
36005024100,Bronx,17,1395,0.1576,20469,17573,0.9015
36005024300,Bronx,23,1211,0.2391,21451,15651,0.8702
36005024400,Bronx,4,341,0.5213,62452,10970,-1.2545
36005024501,Bronx,16,1049,0.1816,26324,15651,-0.2438
36005024502,Bronx,9,864,0.1398,26746,15651,1.3888
36005024600,Bronx,4,311,0.5292,63750,10110,-1.4957
36005024700,Bronx,1,309,0.3288,41271,108802,1.2879
36005024800,Bronx,1,394,0.4318,67102,31809,0.9758
36005025000,Bronx,7,342,0.2778,50451,6474,-0.7022
36005025100,Bronx,19,1414,0.163,32724,15651,0.7715
36005025200,Bronx,2,382,0.3949,61875,10970,-0.9
36005025300,Bronx,26,1290,0.1594,30131,31382,1.3654
36005025400,Bronx,2,301,0.4091,46719,13719,1.1834
36005025500,Bronx,6,1319,0.1733,20972,28281,1.5043
36005025600,Bronx,4,248,0.3664,41797,21223,0.5402
36005025700,Bronx,1,381,0.1624,27545,134542,2.867
36005026100,Bronx,0,213,0.2729,67232,21385,0.9831
36005026300,Bronx,6,1176,0.1584,29167,31382,2.0681
36005026400,Bronx,11,742,0.5681,73838,17002,-0.5239
36005026500,Bronx,27,1456,0.2309,33284,31382,0.7227
36005026601,Bronx,8,351,0.4892,51726,10313.5,1.7762
36005026602,Bronx,4,653,0.4278,43909,9127,3.1204
36005026701,Bronx,7,769,0.1085,36964,21385,0.3078
36005026702,Bronx,5,1431,0.2012,34341,11500,0.3361
36005026900,Bronx,14,655,0.247,34750,134542,2.1339
36005027300,Bronx,13,1498,0.2408,36656,22332,-0.8164
36005027401,Bronx,5,673,0.6175,76477,136227,-2.2513
36005027402,Bronx,0,392,0.7074,71846,3150,-1.0273
36005027700,Bronx,4,958,0.1675,30855,22332,1.5335
36005027900,Bronx,2,981,0.2328,56538,93469,0.6136
36005028100,Bronx,1,381,0.2303,59461,19710,-0.2933
36005028300,Bronx,17,581,0.2974,29643,22332,1.5318
36005028400,Bronx,3,89,0.322,96094,84853,2.0852
36005028500,Bronx,3,320,0.31,48681,12144,3.6496
36005028600,Bronx,2,154,0.4036,53191,17755,4.6213
36005028700,Bronx,3,528,0.2388,49476,17139.6667,0.9877
36005028800,Bronx,4,456,0.5064,74306,13719,-0.8146
36005028900,Bronx,18,680,0.2278,43672,16943,2.7394
36005029301,Bronx,1,163,0.4266,106563,8266,-0.1559
36005029302,Bronx,3,463,0.3843,94652,63544,0.5315
36005029500,Bronx,2,431,0.2914,95250,12144,0.1615
36005029600,Bronx,1,184,0.1756,50286,44654,3.3779
36005029700,Bronx,4,415,0.4341,92869,80484,0.652
36005030000,Bronx,5,792,0.5378,47851,9127,1.559
36005030100,Bronx,0,96,0.5236,81500,8266,1.825
36005030200,Bronx,5,1235,0.5008,53570,136546,-0.3784
36005030701,Bronx,0,581,0.47,81061,4844,1.2807
36005030900,Bronx,0,289,0.3949,87464,2504,0.3888
36005031000,Bronx,9,536,0.694,99688,21324,-4.0766
36005031200,Bronx,0,212,0.5425,60400,21324,-3.8425
36005031400,Bronx,2,240,0.5268,82083,11749,-3.1552
36005031600,Bronx,1,324,0.6106,64702,8494,-1.3293
36005031800,Bronx,0,226,0.4183,52692,8494,-2.5823
