census_tract,ped_injury_5to18,youth_pop_5to18,commute_priv_vehicle,med_hhincome,avg_ann_daily_traffic,fragment_index
36005000200,9,894,0.634633682,74837,8682,-3.061385069
36005000400,12,1158,0.494976816,77991,16917,-2.915361343
36005001600,28,1120,0.422404933,32354,22712,-0.227456445
36005001900,14,281,0.199795082,34635,124767,3.029460988
36005002000,21,1998,0.286795048,23423,10219,0.165237169
36005002300,10,1207,0.089925062,14304,23867,0.854959134
36005002500,21,1144,0.133922931,15683,13452,2.147190781
36005002701,6,751,0.141509434,20159,13452,-0.412456746
36005002702,12,1139,0.080828323,18416,13452,0.900600625
36005002800,11,959,0.450848796,50388,112942,-0.949634807
36005003100,12,315,0.214285714,39962,49915,-1.35239477
36005003300,2,809,0.182072829,19784,8854,-0.450998769
36005003500,9,761,0.247018739,22267,14045,1.401401907
36005003700,6,45,0.095238095,9327,14678,1.701385919
36005003800,1,247,0.514340344,46534,8682,0.713705646
36005003900,17,1252,0.096322942,27608,14989,1.885170765
36005004001,3,241,0.349206349,47841,11960,0.92559658
36005004100,20,1392,0.054503729,18516,14218,-0.777784247
36005004200,44,1425,0.246700508,22135,87375,-0.594179148
36005004300,29,1059,0.156300703,21827,14678,0.820714152
36005004400,5,1052,0.213190184,23102,66911,0.116216884
36005004600,5,299,0.479041916,44297,87375,0.659408848
36005004800,23,743,0.153846154,24437,25483,1.731951882
36005005001,12,1111,0.131104034,31250,2086,0.635341244
36005005002,15,1151,0.092544987,29338,25483,2.120647833
36005005100,16,1358,0.055651176,20233,99020,0.4932071
36005005200,9,400,0.237795276,16810,25483,-0.339861844
36005005300,8,1115,0.153164557,16173,108802,3.216627968
36005005400,5,1103,0.200656695,32254,4654,-0.169761624
36005005600,11,522,0.218978102,17708,14965,3.56903283
36005005902,4,392,0.145023697,38244,24442,0.375608247
36005006000,15,216,0.317427386,43125,223380,0.667799438
36005006100,2,412,0.274203623,47993,24442,0.176613738
36005006200,13,1425,0.180194805,24668,20413,-0.144124938
36005006300,42,909,0.142396561,33809,99020,1.986320949
36005006400,4,816,0.285816108,27048,110109,2.469922513
36005006500,23,1061,0.0475,21959,22230,1.328591565
36005006700,8,1518,0.082482325,21443,14218,-0.318076549
36005006800,12,570,0.316955684,31607,66911,2.697081372
36005006900,16,1742,0.158552348,19824,14218,0.889627645
36005007000,5,870,0.238122496,33712,10219,0.506738681
36005007100,24,452,0.177060134,39792,14678,-0.886319138
36005007200,15,1054,0.28588907,44844,110327,0.460647315
36005007300,19,859,0.184508268,20678,14678,1.195318702
36005007400,3,723,0.451992162,44836,5774,-1.629230303
36005007500,16,1135,0.203163017,22055,8281,3.20419339
36005007600,17,975,0.345683879,41983,10219,-0.744900305
36005007700,9,452,0.243697479,26011,8281,-0.391860043
36005007800,10,1341,0.311456311,34095,104123,0.246564331
36005007900,18,1587,0.156821746,23472,14045,1.739859706
36005008300,18,1329,0.14870317,19409,49915,0.825702775
36005008400,5,467,0.439920556,52234,16917,-2.439185053
36005008500,10,1103,0.238999137,24583,28372,3.115727854
36005008600,8,1006,0.266169154,21313,5774,-0.331033557
36005008700,43,1145,0.128726287,28875,13115,0.362276401
36005008900,18,666,0.091162791,19210,38636,-0.139781101
36005009000,5,845,0.351568785,27802,104123,-1.848334139
36005009200,7,917,0.278157775,42708,25966,0.819839617
36005009300,21,1283,0.210005211,30483,100898,3.201171001
36005009600,9,543,0.244604317,41156,104123,0.356830159
36005009800,6,906,0.386138614,54974,104123,0.180995617
36005011000,1,42,0.369230769,46573,115237,-0.947812794
36005011502,15,1024,0.202028081,21311,112942,2.170175662
36005011700,2,323,0.226785714,24861,8955,0.165687384
36005011800,3,549,0.64462118,77212,115582,-0.890824698
36005011900,8,1307,0.088865096,23926,38636,0.403047163
36005012101,2,637,0.136577708,31058,15950,1.520661156
36005012102,7,432,0.199513382,17800,15950,0.315337359
36005012300,5,926,0.208695652,20671,35242,1.580164241
36005012500,7,889,0.228593272,25317,7241,-0.721433784
36005012701,17,417,0.144851658,19922,15950,1.169687786
36005012901,15,833,0.100502513,17500,17717,1.632185169
36005013000,0,143,0.710843373,78102,15867,-2.50857657
36005013100,13,1203,0.281199786,29254,7752,1.021779864
36005013200,4,1012,0.561943087,92855,15867,-2.186787226
36005013300,17,1445,0.169916435,27742,17717,-0.420049051
36005013500,14,853,0.223247232,22839,12244,0.470468259
36005013800,0,467,0.759296822,82941,115582,-1.019901853
